Date, Open, High, Low, Close, Volume
05/20/16, 10.955, 11.1275, 10.9375, 11.0825, 39108360
05/19/16, 10.7975, 10.9647, 10.7825, 10.8875, 39887924
05/18/16, 10.50, 10.9625, 10.50, 10.84, 54107200
05/17/16, 10.50, 10.645, 10.365, 10.57, 62839040
05/16/16, 10.1675, 10.70, 10.135, 10.5475, 97303040
05/13/16, 9.7975, 10.25, 9.75, 10.245, 211025592
05/12/16, 9.08, 9.12, 8.7325, 8.8925, 67054116
05/11/16, 9.0175, 9.115, 8.9675, 9.015, 32817764
05/10/16, 8.875, 9.005, 8.79, 8.99, 26967716
05/09/16, 8.855, 8.8925, 8.7475, 8.82, 33333644
05/06/16, 8.7275, 8.8563, 8.71, 8.8325, 18324000
05/05/16, 8.7625, 8.845, 8.6775, 8.7425, 24688452
05/04/16, 8.785, 8.7925, 8.60, 8.69, 52576280
05/03/16, 8.8975, 8.935, 8.8153, 8.8925, 22402340
05/02/16, 8.9675, 9.055, 8.925, 9.00, 25607680
04/29/16, 9.0125, 9.0325, 8.785, 8.8825, 32190248
04/28/16, 9.27, 9.325, 9.0275, 9.05, 38122204
04/27/16, 9.0975, 9.3325, 9.0808, 9.3275, 35239432
04/26/16, 9.1675, 9.2725, 9.08, 9.12, 21453456
04/25/16, 9.07, 9.1625, 9.045, 9.1125, 19199060
04/22/16, 9.1325, 9.195, 9.0363, 9.0675, 22354156
04/21/16, 9.115, 9.1575, 9.0625, 9.1025, 17827956
04/20/16, 9.0625, 9.1675, 9.0525, 9.1125, 20017736
04/19/16, 9.2775, 9.295, 9.02, 9.0775, 30915108
04/18/16, 9.265, 9.265, 9.1525, 9.2425, 30732176
04/15/16, 9.2075, 9.365, 9.178, 9.2825, 43697080
04/14/16, 9.16, 9.25, 9.1225, 9.21, 41656520
04/13/16, 9.00, 9.1875, 9.00, 9.185, 35071444
04/12/16, 9.00, 9.0125, 8.785, 8.96, 29276308
04/11/16, 8.9675, 9.1175, 8.94, 8.97, 38752392
04/08/16, 8.93, 8.9875, 8.8263, 8.915, 25593492
04/07/16, 8.8925, 8.9725, 8.82, 8.8575, 37810576
04/06/16, 8.825, 8.955, 8.6575, 8.95, 45337520
04/05/16, 8.87, 9.02, 8.835, 8.9375, 33956860
04/04/16, 9.1125, 9.16, 8.915, 8.95, 39394204
04/01/16, 8.8525, 9.0425, 8.785, 9.0375, 34829276
03/31/16, 8.98, 9.00, 8.8375, 8.9075, 37988208
03/30/16, 8.88, 9.0625, 8.875, 8.94, 37669896
03/29/16, 8.67, 8.8675, 8.65, 8.8475, 26181064
03/28/16, 8.605, 8.745, 8.595, 8.7075, 26538800
03/24/16, 8.53, 8.635, 8.5025, 8.62, 24495416
03/23/16, 8.50, 8.67, 8.4625, 8.6075, 42900680
03/22/16, 8.45, 8.5213, 8.3575, 8.4625, 24201064
03/21/16, 8.3775, 8.48, 8.2875, 8.4775, 33778156
03/18/16, 8.3025, 8.5625, 8.25, 8.4525, 54551200
03/17/16, 8.245, 8.285, 8.0935, 8.205, 35367836
03/16/16, 7.975, 8.3025, 7.9375, 8.275, 36364272
03/15/16, 8.0325, 8.085, 7.8925, 8.035, 22621680
03/14/16, 8.0175, 8.1075, 7.98, 8.075, 19031472
03/11/16, 8.0375, 8.0575, 7.9425, 8.055, 27739944
03/10/16, 7.98, 8.025, 7.76, 7.92, 28608548
